Stage	Trade	Supplier	Component	Unit	Quantity	Price	Description
SLAB1	0410	03544	0031	1	0	$120.00	CONCRETE CURING PER JOB - SOUTH WEST
							
SLAB1	0415	04601	0009	1	0	$67.15	SL63 REINFORCEMENT MESH (6M X 2.4M)
SLAB1	0415	04601	0010	1	17	$96.10	SL62 REINFORCEMENT MESH (6M X 2.4M)
SLAB1	0415	04601	0011	1	0	$113.40	SL72 REINFORCEMENT MESH (6M X 2.4M)
SLAB1	0415	04601	0012	1	0		SL82 REINFORCEMENT MESH (6M X 2.4M)
SLAB1	0415	04601	0014	1	0		SL92 REINFORCEMENT MESH (6M X 2.4M)
SLAB1	0415	04601	0060	1	0		TRENCH MESH L11TM - 3 BAR
SLAB1	0415	04601	0119	1	0	$29.40	TRENCH MESH L8TM - 3 BAR
SLAB1	0415	04601	1041	1	10	$11.95	N16 RE-ENTRY BAR 2.0M
SLAB1	0415	04601	1042	1	8	$7.50	N16 RE-ENTRY BAR 1.2M
SLAB1	0415	04601	9024	1	0		DELIVERY TO BRIDGETOWN
SLAB1	0415	04601	9029	1	1		DELIVERY TO BUNBURY
SLAB1	0415	04601	9031	1	0	$42.00	DELIVERY TO BUSSELTON
SLAB1	0415	04601	9035	1	0		DELIVERY TO COWARAMUP
SLAB1	0415	04601	9043	1	0		DELIVERY TO DONNYBROOK
SLAB1	0415	04601	9044	1	0	$57.75	DELIVERY TO DUNSBOROUGH
SLAB1	0415	04601	9067	1	0		DELIVERY TO MANJIMUP
SLAB1	0415	04601	9068	1	0		DELIVERY - MARGARET RIVER
SLAB1	0415	04601	9134	1	0		DELIVERY TO AUGUSTA
SLAB1	0415	04601	9160	1	0		DELIVERY - DARDANUP
SLAB1	0415	04601	9300	1	0		DELIVERY - CAPEL
SLAB1	0415	04601	9420	1	0		DELIVERY - HARVEY
SLAB1	0415	04601	9425	1	0		DELIVERY - WAROONA
SLAB1	0415	04601	9430	1	0		DELIVERY - COLLIE
SLAB1	0415	04601	9440	1	0		DELIVERY - NANNUP
SLAB1	0415	04601	9440	1	0		DELIVERY - BOYUP BROOK
SLAB1	0415	04601	7000	7	#N/A	$6.50	N12 BAR BENT TO DETAIL
SLAB1	0415	04601	7001	0	0	$0.00	
SLAB1	0415	04601	7002	0	0	$0.00	
SLAB1	0415	04601	7015	1	0	$0.00	SL102 REINFORCEMENT MESH (6M X 2.4M)
SLAB1	0415	04601	325	1	0		TRENCH MESH L12TM 3 BAR 6.0M L12TM3
							
SLAB1	0420	03544	0010	1	1	$75.00	RESISTA 101 SLAB EDGE PARGING
SLAB1	0420	03544	0016	8			SLAB TREATMENT PER SQ.METRE STAGE 1&2 SOUTH WEST
SLAB1	0420	03544	0041	1	0		CONCRETE GARAGE HARDSTAND SLAB TREATMENT - S.WEST
SLAB1	0420	03544	0160	7	0		GRANIT-GUARD TO ZERO LOT CAVITY WALLS (UNDER 5M)
SLAB1	0420	03544	0161	7	0		GRANIT-GUARD TO ZERO LOT CAVITY WALLS (OVER 5M)
SLAB1	0420	03544	0168	1	0		KORDON TERMITE BARRIER TO ZERO LOT SGL LEAF WALLS
SLAB1	0420	03544	0300	1	1	$180.00	PERIMETER TERMITE TREATMENT ONLY (SLAB SPRAY BY OTHERS) W/- STICKER TO M/BOX
SLAB1	0420	03544	400	1	0		ALTIS ANTI-TERMITE RETIC SYSTEM FIRST 10M TO CONCRETED ALFRESCO/VERANDAHS
SLAB1	0420	03544	410	7	0		ALTIS ANTI-TERMITE RETIC SYSTEM AFTER FIRST 10M TO ALFRESCO/VERANDAHS
SLAB1	0420	03544	1100	1	1	$75.00	SPRAY TO PENETRATIONS ONLY
SLAB1	0420	03544	9017	1	0		TRAVEL ALLOWANCE - (PER TRIP)  -  BALINGUP
SLAB1	0420	03544	9023	1	0		TRAVEL ALLOWANCE - (PER TRIP)  -  BOYUP BROOK
SLAB1	0420	03544	9024	1	0		TRAVEL ALLOWANCE - (PER TRIP)  -  BRIDGETOWN
SLAB1	0420	03544	9029	1	0		TRAVEL ALLOWANCE - (PER TRIP)  -  BUNBURY
SLAB1	0420	03544	9031	1	0	$0.00	TRAVEL ALLOWANCE - (PER TRIP)  -  BUSSELTON
SLAB1	0420	03544	9044	1	0		TRAVEL ALLOWANCE - (PER TRIP)  -  DUNSBOROUGH
SLAB1	0420	03544	9068	1	0		TRAVEL ALLOWANCE - (PER TRIP)  -  MARGARET RIVER
							
							
							
SLAB1	0650	50062	7000	1	$0.00	$0.00	ALLOWANCE FOR CONCRETE PUMP TO CARPORT
							
SLAB1	0430	03725	0534	9	0	$223.00	SUPPLY ONLY 20/20/100 CONCRETE TO DUNSBOROUGH
SLAB1	0430	03725	0532	9	0	$205.00	SUPPLY ONLY 20/20/100 CONCRETE TO BUSSELTON
SLAB1	0430	03725	0538	9	0		SUPPLY ONLY 20/20/100 CONCRETE TO MARGARET RIVER / COWARAMUP
SLAB1	0430	03725	0539	9	0		SUPPLY ONLY 20/20/100 CONCRETE TO AUGUSTA
SLAB1	0430	03725	0622	9	0		SUPPLY ONLY 20/20/100 CONCRETE TO WAROONA
SLAB1	0430	03725	0431	9	0		SUPPLY ONLY 20/20/100 CONCRETE TO BRIDGETOWN
SLAB1	0430	03725	0566	9	0		SUPPLY ONLY 20/20/100 CONCRETE TO MANJIMUP
							
SLAB1	0435	50062	60	1	0		SUNKEN AREA
SLAB1	0435	50062	0125	1	0	$1.00	FIX / INSTALL Y OR Z BARS
SLAB1	0435	50062	0131	1	18	$1.00	RE ENTRY BARS TO SLAB
SLAB1	0435	50062	0138	8	220	$1.10	PLASTIC & BAR CHAIRS
SLAB1	0435	50062	0142	1	2	$7.50	DOOR & SHOWER SET DOWNS
SLAB1	0435	50062	0146	1			CAST IN STARTER BAR TO BRICK PIER OR SIMILAR
SLAB1	0435	50062	0149	1	4	$10.00	PAD FOOTINGS
SLAB1	0435	50062	0200	9	0.6	$125.00	CONCRETE LABOUR TO FOOTINGS - INC'S INSTALL OF POLY, STEEL & MESH
SLAB1	0435	50062	0201	9	1.9	$125.00	CONCRETE LABOUR TO SLAB - INC'S INSTALL OF POLY, STEEL & MESH
SLAB1	0435	50062	0510	1			LABOUR E/O FOR -4C FOOTINGS
SLAB1	0435	50062	0511	1			LABOUR E/O FOR -6C FOOTINGS
SLAB1	0435	50062	1200	9	0		CONCRETE LABOUR TO FOOTINGS BRIDGETOWN - INC'S INSTALL OF POLY, STEEL & MESH
SLAB1	0435	50062	1201	9	0		CONCRETE LABOUR TO SLAB BRIDGETOWN - INC'S INSTALL OF POLY, STEEL & MESH
SLAB1	0435	50062	7000	1	0	$300.00	INSTALL CONTROL JOINT
SLAB1	0435	50062	9610	0	1	$0.00	GRANO WORKER TO BOOK AS REQUIRED - PEST CONTROL:
SLAB1	0435	50062	7000	9	0	$125.00	E/O LABOUR FOR 85MM SLAB
SLAB1	0435	50062	9997	0	0		BLOCK OUT SLAB AT FLOOR WASTE LOCATIONS TO SUIT BERMUDA DRAINS
SLAB1	0435	50062	PN15	8	0	$55.00	LEVEL 2 LIGHT SAND AND SATIN FINISH POLISHED CONCRETE
SLAB1	0435	50062	PN10	0			IF FOOTING DETAIL IS C1 TO C10 INC, FOOTING TO GARAGE OPENING TO BE CONTINUOUS
							
DRAIN	1040	52024	6510	1	0	$1.00	DRAINS - PROGRESS CLAIM AS PER QUOTE
							
STORMW	1210	52024	0001	1	0	$1.00	STORMWATER AS PER QUOTE
							
BRICK1	0315	50061	0030	1	1	$250.00	BRICK SAW
							
BRICK1	0450	52327	7000	1	0.00	$0.00	STRUCTURAL STEEL AS QUOTED
							
BRICK1	0460	52048	0313	9	20		YELLOW B'LAYERS SAND (AUSTRALIND) EX R'MEAD
BRICK1	0460	52048	0321	9	0		YELLOW B'LAYERS SAND (BINNINGUP) EX R'MEAD
BRICK1	0460	52048	0320	9	0		YELLOW B'LAYERS SAND (BRUNSWICK) EX R'MEAD
BRICK1	0460	52048	0301	9	0		YELLOW B'LAYERS SAND (BUNBURY) EX R'MEAD
BRICK1	0460	52048	0306	9	0	$56.50	YELLOW B'LAYERS SAND (BUSSELTON) EX R'MEAD
BRICK1	0460	52048	0300	9	0		YELLOW B'LAYERS SAND (CAPEL) EX R'MEAD
BRICK1	0460	52048	0308	9	0		YELLOW B'LAYERS SAND (COLLIE) EX R'MEAD
BRICK1	0460	52048	0304	9	0		YELLOW B'LAYERS SAND (DARDANUP) EX R'MEAD
BRICK1	0460	52048	0307	9	0		YELLOW B'LAYERS SAND (DONNYBROOK) EX R'MEAD
BRICK1	0460	52048	0307	9	0	$62.93	YELLOW B'LAYERS SAND (DUNSBOROUGH) EX R'MEAD
BRICK1	0460	52048	0303	9	0		YELLOW B'LAYERS SAND (EATON) EX R'MEAD
BRICK1	0460	52048	0302	9	0		YELLOW B'LAYERS SAND (GELORUP-DALYELLUP) EX R'MEAD
BRICK1	0460	52048	0323	9	0		YELLOW B'LAYERS SAND (HARVEY) EX R'MEAD
BRICK1	0460	52048	0322	9	0		YELLOW B'LAYERS SAND (MYALUP) EX R'MEAD
BRICK1	0460	52048	0305	9	0		YELLOW B'LAYERS SAND (PEPPERMINT BEACH) EX R'MEAD
BRICK1	0460	52048	0327	9	0		YELLOW B'LAYERS SAND (WAROONA)
BRICK1	0460	52048	0604	9	0		YELLOW B'LAYERS SAND (AUGUSTA) EX R'MEAD
BRICK1	0460	52048	0603	9	0		YELLOW BRICKIES SAND (MARG RIVER) EX R'MEAD
BRICK1	0460	52048	0326	9	0		YELLOW BRICKIES SAND (YALLINGUP) EX R'MEAD
BRICK1	0460	52048	0605	9	0		YELLOW BRICKIES SAND (COWARAMUP) EX R'MEAD
BRICK1	0460	97932	0012	9	0		SCREENED BRICKIES SAND (MANJIMUP)
							
BRICK1	0470	04601	0021	1	0	$16.50	WHITE CEMENT MALAYSIAN 20KG BAGS
BRICK1	0470	04601	0025	1	0	$11.00	COCKBURN HYLIME 20KG 48 BAGS/PALLET
BRICK1	0470	04601	0038	1	0		COCKBURN BRICKIES GREY COASTAL M4 20KG 56 BAGS/PALLET
BRICK1	0470	04601	0035	1	0	$10.45	COCKBURN BRICKIES LITE 17.85KG 56 BAGS/PALLET
BRICK1	0470	04601	0036	1	165	$9.50	COCKBURN BRICKIES GREY 17.85KG 56 BAGS/PALLET
BRICK1	0470	04601	9134	1	0		DELIVERY TO AUGUSTA
BRICK1	0470	04601	9024	1	0		DELIVERY TO BRIDGETOWN
BRICK1	0470	04601	9029	1	1		DELIVERY TO BUNBURY
BRICK1	0470	04601	9031	1	0	$42.00	DELIVERY TO BUSSELTON
BRICK1	0470	04601	9032	1	0		DELIVERY TO CAPEL
BRICK1	0470	04601	9035	1	0		DELIVERY TO COWARAMUP
BRICK1	0470	04601	9043	1	0		DELIVERY TO DONNYBROOK
BRICK1	0470	04601	9044	1	0	$57.75	DELIVERY TO DUNSBOROUGH
BRICK1	0470	04601	9067	1	0		DELIVERY TO MANJIMUP
BRICK1	0470	04601	9068	1	0		DELIVERY TO MARGARET RIVER
							
BRICK1	0480	04601	0015	1	2	$13.75	DAMPCO BLACK 4 LITRES
BRICK1	0480	04601	0030	3	900	26.10	BRICK WIRE TIES (3.15 X 180) HEAVY GALV.
BRICK1	0480	04601	0032	3	0		BRICK TIE S/STEEL 3.15 X 175
BRICK1	0480	04601	0046	1	0		SHERRIFF S/STEEL B/VENEER WALL TIES S/FIX
BRICK1	0480	04601	0049	1	0		B/VENEER HDG WALL TIES 3.15 X 150MM
BRICK1	0480	04601	0060	1	0	$0.50	FRAME STRAPS STD
BRICK1	0480	04601	7000	1	0	$3.77	FRAME STRAPS STAINLESS STEEL 3537SS
BRICK1	0480	04601	0074	1	9	$26.50	(L10) PIER HOLD DOWN BOLT GALV 10MM X 3.0M OFFSET (1.5M THREAD)
BRICK1	0480	04601	0077	1	0		(L10) PIER HOLD DOWN BOLT GALV 10MM X 3.0M OFFSET (1.5M THREAD)
BRICK1	0480	04601	0120	5	0.25	$10.00	25MM GALV. CLOUTS
BRICK1	0480	04601	0254	1	80	$2.50	ZAM STRAPS - 1.8M
BRICK1	0480	04601	0255	1	30	$3.95	ZAM STRAPS - 3.0M
BRICK1	0480	04601	0260	1	0	$5.50	GW6M3S6 6M X 6.5MM GALV. ROD
BRICK1	0480	04601	0261	1	0	$3.64	500 X 500 X 6.5MM GALV. CORNER ROD
BRICK1	0480	04601	0280	1	1	$11.68	ALCOR 110MM X 10M
BRICK1	0480	04601	0295	1	2	$32.95	ALCOR 300 X 10M
BRICK1	0480	04601	0482	1	3		HIGH PERFORMANCE BUSHFIRE WEEPA (PACK 25) - BAL 12.5 & BAL 19
BRICK1	0480	04601	0486	1	0	$32.00	WEEPA HOLES STANDARD (PKT 25)
BRICK1	0480	04601	0490	1	0		CAVITY VENT CONNECTOR 165 X 245 X 90MM
BRICK1	0480	04601	0651	1	0	$70.00	METER BOX STD ELECTRIC
BRICK1	0480	04601	0655	1	0		METERBOX G/E COMBI NO.9 WITH CAM LOCK & VIEWING WINDOW
BRICK1	0480	04601	0657	1	1	$139.00	METERBOX G/E COMBO PLAIN SIDES NO.9
BRICK1	0480	04601	0682	1	0		WIND POST 2672 SUIT 2.4M WALL WP1 (Z600)
BRICK1	0480	04601	0683	1	0		WIND POST 2972 SUIT 2.7M WALL WP2 (Z600)
BRICK1	0480	04601	0684	1	0		WIND POST 3272 SUIT 3.0M WALL WP3 (Z600)
BRICK1	0480	04601	0686	1	0		S/STEEL WIND POST 2672 TO SUIT 2.4M WALL
BRICK1	0480	04601	0687	1	0		S/STEEL WIND POST 2972 TO SUIT 2.7M WALL
BRICK1	0480	04601	0688	1	0		S/STEEL WIND POST 3272 TO SUIT 3.0M WALL
BRICK1	0480	04601	0700	1	0		METER BOX ELECTRIC LOCK & VIEW PANEL
BRICK1	0480	04601		1			METER BOX ELECTRIC/GAS COMBO RECESSED
BRICK1	0480	04601	1010	1	0	$324.05	INSULATION AIRCELL PERMICAV 1350X22.25M ROLL
BRICK1	0480	04601	1012	1	0	$68.50	INSULATION SPACER BLOCK BAG 100
BRICK1	0480	04601	1050	1	0	$30.05	INSULATION J382 ALUMINIUM FOIL TAPE 50MM X 50M
BRICK1	0480	04601		1	0		MRBL 50 MASONARY REINFORCEMENT - 3600 LONG BRM50
BRICK1	0480	04601	3204	1	30	$2.65	100MM X M12 GALV. THROUGH BOLT
BRICK1	0480	04601		1	0		FLASHING GALVANISED 2.4M*90*0.4 (PGI9024)
BRICK1	0480	04601		1			SISALATION TRADESELECT BRANE-VHP VAPOUR 2740 X 30M (9339338000446)
BRICK1	0480	04601		1			TAPE SISALATION TRADESELECT BYUTE FLASH 75MM X 10M (9316328079408)
BRICK1	0480	04601	9000	1	1	$50.00	DELIVERY
							
BRICK1	0480	02111	7000	1	0	$38.80	THERMANICHE RSN01
BRICK1	0480	02111	7001	1	0	$38.80	THERMANICHE RSN02
BRICK1	0480	02111	7002	1	2	$43.10	THERMANICHE RSN03
BRICK1	0480	02111	7003	1	1	$0.00	DELIVERY
							
BRICK1	0490	02004	2190	4	0	$1,196.00	KENNEDY 290 X 90 X 162
BRICK1	0490	02004	2191	4	0	$619.00	KENNEDY 290 X 90 X 76 CORED
BRICK1	0490	02004	2192	4	0	$819.00	KENNEDY 290 X 90 X 76 SOLID
BRICK1	0490	02004	7000	4	0	$1,455.00	KENNEDY 290 X 90 X 162 FINISHING BRICK
BRICK1	0490	02004	1050	4	0	$760.00	BURNISHED RED STD
BRICK1	0490	02004	1051	4	0	$560.00	BURNISHED RED SOLID
BRICK1	0490	02004	1116	4	0		LOONGANA LIMESTONE 290 X 90 X 162
BRICK1	0490	02004	1129	4	0		LOONGANA LIMESTONE 290 X 90 X 76 CORED
BRICK1	0490	02004	1117	4	0		LOONGANA LIMESTONE 290 X 90 X 76 SOLID
BRICK1	0490	02004	1119	4	0		LOONGANA LIMESTONE 290 X 90 X 162 FINISHING BRICK
BRICK1	0490	02004	1150	4	0		NOUVEAU GREY STD
BRICK1	0490	02004	1151	4	0		NOUVEAU GREY SOLIDS
BRICK1	0490	02004	2080	4	0	$1,196.00	BULLARA 290 X 90 X 162
BRICK1	0490	02004	2081	4	0	$619.00	BULLARA 290 X 90 X 76 CORED
BRICK1	0490	02004	2082	4	0	$819.00	BULLARA 290 X 90 X 76 SOLID
BRICK1	0490	02004	2087	4	0		BULLARA 290 X 90 X 162 FINISHING BRICK
BRICK1	0490	02004	2180	4	0		BREMER BAY 290 X 90 X 162
BRICK1	0490	02004	2181	4	0		BREMER BAY 290 X 90 X 76 CORED
BRICK1	0490	02004	2182	4	0		BREMER BAY 290 X 90 X 76 SOLID
BRICK1	0490	02004	7000	4	0	$1,455.00	BREMER BAY 290 X 90 X 162 FINISHING BRICK
BRICK1	0490	02004	8990	4	176	$1.50	ABBTF LEVY FOR STANDARD BRICKS
BRICK1	0490	02004	8991	4	-276	$3.00	ABBTF LEVY FOR 2 COURSE BRICKS
							
BRICK1	0510	02004	0002	4	252	$525.00	LONGREACH EX WORKS
BRICK1	0510	02004	0006	4	0		STD COMMONS EX WORKS
BRICK1	0510	02004	0008	4	11868	$617.00	VERTICLAY 162
BRICK1	0510	02004	0031	1			FASTWALL LINTEL 0.935M
BRICK1	0510	02004	0032	1	3		FASTWALL LINTEL 1.250M
BRICK1	0510	02004	0033	1			FASTWALL LINTEL 1.565M
BRICK1	0510	02004	0034	1		$43.24	FASTWALL LINTEL 1.880M
BRICK1	0510	02004	0035	1			FASTWALL LINTEL 2.195M
BRICK1	0510	02004	0036	1			FASTWALL LINTEL 2.51M
BRICK1	0510	02004	0037	1			FASTWALL LINTEL 2.825M
BRICK1	0510	02004	0038	1			FASTWALL LINTEL 3.140M
BRICK1	0510	02004	8990	4	252	$1.50	ABBTF LEVY FOR STD BRICKS
BRICK1	0510	02004	8991	4	11868	$3.00	ABBTF LEVY FOR 2 COURSE BRICKS
							
BRICK1	0520	10804600	0100	0	0		ZONE 1 - BUNBURY,BUREKUP,WITHERS,DARDANUP,DALYELLUP,BOYANUP
BRICK1	0520	10804600	0102	4	0		ZONE 1 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0106	4	0		ZONE 1 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0108	4	0		ZONE 1 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0110	4	0		ZONE 1 - UTILITY - ULTRAFAST (305 X 90 X 162)
BRICK1	0520	10804600	0114	4	0		ZONE 1 - UTILITY - LONGREACH CORED (305 X 90 X 76)
BRICK1	0520	10804600	0116	4			ZONE 1 - UTILITY - LONGREACH SOLID (305 X 90 X 76)
BRICK1	0520	10804600	0118	4			ZONE 1 - MINIMUM CHARGE
BRICK1	0520	10804600	0200	0	1		ZONE 2 - 
BRICK1	0520	10804600	0202	4	-276		ZONE 2 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0206	4	176		ZONE 2 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0208	4	0		ZONE 2 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0210	4	11868		ZONE 2 - UTILITY - ULTRAFAST (305 X 90 X 162)
BRICK1	0520	10804600	0214	4	0		ZONE 2 - UTILITY - LONGREACH CORED (305 X 90 X 76)
BRICK1	0520	10804600	0216	4			ZONE 2 - UTILITY - LONGREACH SOLID (305 X 90 X 76)
BRICK1	0520	10804600	0218	4			ZONE 2 - MINIMUM CHARGE
BRICK1	0520	10804600	0300	0	0		ZONE 3 -
BRICK1	0520	10804600	0302	4	0		ZONE 3 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0306	4	0		ZONE 3 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0308	4	0		ZONE 3 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0310	4	0		ZONE 3 - UTILITY - ULTRAFAST (305 X 90 X 162)
BRICK1	0520	10804600	0314	4	0		ZONE 3 - UTILITY - LONGREACH CORED (305 X 90 X 76)
BRICK1	0520	10804600	0316	4			ZONE 3 - UTILITY - LONGREACH SOLID (305 X 90 X 76)
BRICK1	0520	10804600	0318	4			ZONE 3 - MINIMUM CHARGE
BRICK1	0520	10804600	0400	0	0		ZONE 4 - 
BRICK1	0520	10804600	0402	4	0		ZONE 4 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0406	4	0		ZONE 4 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0408	4	0		ZONE 4 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0410	4	0		ZONE 4 - UTILITY - ULTRAFAST (305 X 90 X 162)
BRICK1	0520	10804600	0414	4	0		ZONE 4 - UTILITY - LONGREACH CORED (305 X 90 X 76)
BRICK1	0520	10804600	0416	4			ZONE 4 - UTILITY - LONGREACH SOLID (305 X 90 X 76)
BRICK1	0520	10804600	0418	4			ZONE 4 - MINIMUM CHARGE
BRICK1	0520	10804600	0500	0	0		ZONE 5 - 
BRICK1	0520	10804600	0502	4	0		ZONE 5 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0506	4	0		ZONE 5 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0508	4	0		ZONE 5 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0510	4	0		ZONE 5 - UTILITY - ULTRAFAST (305 X 90 X 162)
BRICK1	0520	10804600	0514	4	0		ZONE 5 - UTILITY - LONGREACH CORED (305 X 90 X 76)
BRICK1	0520	10804600	0516	4			ZONE 5 - UTILITY - LONGREACH SOLID (305 X 90 X 76)
BRICK1	0520	10804600	0518	4			ZONE 5 - MINIMUM CHARGE
BRICK1	0520	10804600	0600	0			ZONE 6 - 
BRICK1	0520	10804600	0602	4			ZONE 6 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0606	4			ZONE 6 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0608	4			ZONE 6 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0610	4			ZONE 6 - UTILITY - ULTRAFAST (306 X 90 X 162)
BRICK1	0520	10804600	0614	4			ZONE 6 - UTILITY - LONGREACH CORED (306 X 90 X 76)
BRICK1	0520	10804600	0616	4			ZONE 6 - UTILITY - LONGREACH SOLID (306 X 90 X 76)
BRICK1	0520	10804600	0618	4			ZONE 6 - MINIMUM CHARGE
BRICK1	0520	10804600	0800	0	0		ZONE 8 - 
BRICK1	0520	10804600	0802	4	0		ZONE 8 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0806	4	0		ZONE 8 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0808	4	0		ZONE 8 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0810	4	0		ZONE 8 - UTILITY - ULTRAFAST (308 X 90 X 162)
BRICK1	0520	10804600	0814	4	0		ZONE 8 - UTILITY - LONGREACH CORED (308 X 90 X 76)
BRICK1	0520	10804600	0816	4			ZONE 8 - UTILITY - LONGREACH SOLID (308 X 90 X 76)
BRICK1	0520	10804600	0818	4			ZONE 8 - MINIMUM CHARGE
BRICK1	0520	10804600	0900	0	0		ZONE 9 - 
BRICK1	0520	10804600	0902	4	0		ZONE 9 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	0906	4	0		ZONE 9 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	0908	4	0		ZONE 9 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	0910	4	0		ZONE 9 - UTILITY - ULTRAFAST (309 X 90 X 162)
BRICK1	0520	10804600	0914	4	0		ZONE 9 - UTILITY - LONGREACH CORED (309 X 90 X 76)
BRICK1	0520	10804600	0916	4			ZONE 9 - UTILITY - LONGREACH SOLID (309 X 90 X 76)
BRICK1	0520	10804600	0918	4			ZONE 9 - MINIMUM CHARGE
BRICK1	0520	10804600	1000	0	0		ZONE 10 - 
BRICK1	0520	10804600	1002	4	0		ZONE 10 - 2C FACE - 290 BLOCK (290 X 90 X 162)
BRICK1	0520	10804600	1006	4	0		ZONE 10 - FACE LONGREACH - CORED (290 X 90 X 76)
BRICK1	0520	10804600	1008	4	0		ZONE 10 - FACE LONGREACH - SOLID (290 X 90 X 76)
BRICK1	0520	10804600	1010	4	0		ZONE 10 - UTILITY - ULTRAFAST (309 X 90 X 162)
BRICK1	0520	10804600	1014	4	0		ZONE 10 - UTILITY - LONGREACH CORED (309 X 90 X 76)
BRICK1	0520	10804600	1016	4			ZONE 10 - UTILITY - LONGREACH SOLID (309 X 90 X 76)
BRICK1	0520	10804600	1018	4			ZONE 10 - MINIMUM CHARGE
BRICK1	0520	10804600	1110	1	3		BRICK LINTEL
							
